payment_id,customer_id,amount,payment_method,bank,failure_reason,previous_success_count,previous_failure_count,retry_attempted,retry_delay_minutes,recovered,recovery_time_minutes,treatment_group
P00001,C00861,437.72,upi,SBI,network_error,8,2,1,10,0,,1
P00002,C01295,589.66,netbanking,HDFC,insufficient_funds,4,2,1,120,0,,1
P00003,C01131,209.3,upi,ICICI,insufficient_funds,3,3,0,0,0,,0
P00004,C01096,1583.73,netbanking,SBI,network_error,4,1,1,60,1,17.0,1
P00005,C01639,382.42,card,Other,bank_declined,2,2,1,60,0,,1
P00006,C02170,771.02,card,SBI,insufficient_funds,2,4,1,30,0,,1
P00007,C00467,295.02,card,SBI,insufficient_funds,1,0,0,0,1,239.0,0
P00008,C01239,173.28,netbanking,SBI,bank_declined,3,5,0,0,0,,0
P00009,C00331,1115.87,upi,HDFC,limit_exceeded,6,2,0,0,0,,0
P00010,C01483,257.71,upi,SBI,timeout,4,4,0,0,1,31.0,0
P00011,C02136,854.08,netbanking,Other,insufficient_funds,4,4,0,0,0,,0
P00012,C02920,276.09,card,ICICI,timeout,1,0,0,0,1,195.0,0
P00013,C00131,422.44,card,Axis,insufficient_funds,2,2,1,30,0,,1
P00014,C01686,440.83,card,HDFC,network_error,5,2,0,0,0,,0
P00015,C00770,483.82,card,Axis,timeout,6,1,1,10,1,132.0,1
P00016,C02392,314.27,card,SBI,bank_declined,3,2,1,30,1,53.0,1
P00017,C01516,815.52,wallet,HDFC,bank_declined,2,2,0,0,0,,0
P00018,C02854,953.26,upi,Other,limit_exceeded,2,8,0,0,0,,0
P00019,C02434,1158.61,upi,Axis,insufficient_funds,4,4,0,0,0,,0
P00020,C01216,360.47,upi,ICICI,insufficient_funds,1,0,0,0,1,235.0,0
P00021,C00956,225.15,upi,Other,limit_exceeded,2,1,1,30,0,,1
P00022,C02325,572.3,wallet,Other,limit_exceeded,5,5,1,10,0,,1
P00023,C01185,638.66,wallet,Axis,bank_declined,1,4,0,0,0,,0
P00024,C00460,641.25,netbanking,ICICI,network_error,6,2,0,0,0,,0
P00025,C00022,1441.57,card,HDFC,insufficient_funds,6,3,1,10,1,210.0,1
P00026,C02301,532.48,netbanking,Other,limit_exceeded,3,4,0,0,1,41.0,0
P00027,C00748,2140.85,card,HDFC,bank_declined,5,5,1,30,1,151.0,1
P00028,C02905,912.05,upi,Other,network_error,7,2,1,30,0,,1
P00029,C00475,931.97,upi,SBI,insufficient_funds,7,1,0,0,0,,0
P00030,C01083,523.89,card,Other,network_error,4,1,0,0,0,,0
P00031,C02559,396.2,wallet,HDFC,network_error,3,1,1,120,0,,1
P00032,C02048,321.42,wallet,ICICI,bank_declined,4,1,0,0,0,,0
P00033,C02748,560.14,wallet,Axis,limit_exceeded,5,2,0,0,1,139.0,0
P00034,C00976,909.79,card,ICICI,insufficient_funds,3,3,1,120,1,24.0,1
P00035,C01807,429.32,card,Other,limit_exceeded,1,1,1,60,0,,1
P00036,C00190,380.15,wallet,HDFC,timeout,4,0,1,10,1,124.0,1
P00037,C02735,239.42,card,SBI,timeout,4,0,1,120,1,163.0,1
P00038,C00563,705.16,upi,ICICI,network_error,3,0,0,0,1,206.0,0
P00039,C01900,233.25,upi,SBI,bank_declined,3,2,0,0,1,81.0,0
P00040,C01268,651.04,card,Axis,bank_declined,2,1,1,60,1,19.0,1
P00041,C02880,600.81,netbanking,SBI,timeout,3,2,1,120,1,119.0,1
P00042,C01529,447.09,card,Axis,bank_declined,5,1,1,10,0,,1
P00043,C00647,1145.61,upi,SBI,insufficient_funds,2,1,1,120,1,127.0,1
P00044,C02069,1499.73,card,Other,insufficient_funds,4,1,0,0,1,168.0,0
P00045,C02889,112.78,upi,SBI,timeout,3,4,0,0,0,,0
P00046,C02215,174.0,card,ICICI,timeout,4,5,1,10,1,142.0,1
P00047,C01298,741.94,upi,ICICI,bank_declined,5,0,1,60,0,,1
P00048,C02436,1612.01,wallet,ICICI,bank_declined,5,0,0,0,1,166.0,0
P00049,C00601,189.96,netbanking,Axis,network_error,6,3,1,30,1,127.0,1
P00050,C02364,661.86,upi,Axis,bank_declined,2,2,0,0,0,,0
P00051,C02062,145.21,netbanking,Other,network_error,3,0,1,10,0,,1
